"COD","DAT","TEMP_MEDL"
340521,2021-06-01,21.4
346452,2021-06-01,21.5
347357,2021-06-01,21.7
349835,2021-06-01,20.2
352557,2021-06-01,20.6
359257,2021-06-01,22.9
359521,2021-06-01,20.8
401321,2021-06-01,22
404638,2021-06-01,20.5
406421,2021-06-01,21.4
407500,2021-06-01,20.7
408800,2021-06-01,19.9
412721,2021-06-01,20.9
413838,2021-06-01,20.8
413839,2021-06-01,21
414352,2021-06-01,21.1
415816,2021-06-01,20.1
417530,2021-06-01,20.5
421803,2021-06-01,20.4
422751,2021-06-01,20.6
425606,2021-06-01,20.5
426421,2021-06-01,20.7
428307,2021-06-01,20.7
430608,2021-06-01,20.1
430613,2021-06-01,20.8
433724,2021-06-01,20.4
436447,2021-06-01,20.1
438238,2021-06-01,22.6
439534,2021-06-01,20.2
441757,2021-06-01,20.3
441900,2021-06-01,21.2
443639,2021-06-01,20.7
444127,2021-06-01,22.3
444417,2021-06-01,20.6
444820,2021-06-01,19.4
445718,2021-06-01,20.2
446853,2021-06-01,20.3
452230,2021-06-01,20.2
452452,2021-06-01,19.5
453344,2021-06-01,19.4
454936,2021-06-01,20.4
455200,2021-06-01,19.8
456526,2021-06-01,19.2
457600,2021-06-01,19.8
500432,2021-06-01,18.2
501252,2021-06-01,19.7
502141,2021-06-01,21.5
502317,2021-06-01,20.8
505904,2021-06-01,19.7
506422,2021-06-01,20.3
507158,2021-06-01,13.7
509441,2021-06-01,18.5
509649,2021-06-01,20.2
509940,2021-06-01,20.4
511349,2021-06-01,19
511849,2021-06-01,21
511912,2021-06-01,20.7
512755,2021-06-01,20.2
515231,2021-06-01,7.7
515356,2021-06-01,12.5
517507,2021-06-01,17
517545,2021-06-01,17.9
518155,2021-06-01,20.8
518231,2021-06-01,13.7
519622,2021-06-01,18.4
523108,2021-06-01,22.3
523328,2021-06-01,12.9
523530,2021-06-01,12.1
523703,2021-06-01,20
525215,2021-06-01,20.7
525323,2021-06-01,17.1
525358,2021-06-01,16.2
526338,2021-06-01,12
527527,2021-06-01,4.4
528518,2021-06-01,12.8
530535,2021-06-01,13.7
530801,2021-06-01,20.4
533642,2021-06-01,15.9
536437,2021-06-01,7.5
536625,2021-06-01,10.3
538416,2021-06-01,18.1
539357,2021-06-01,12.9
541154,2021-06-01,22
541601,2021-06-01,15.7
541712,2021-06-01,21.2
542532,2021-06-01,17.3
546115,2021-06-01,23.2
547042,2021-06-01,22.7
548409,2021-06-01,18.8
551459,2021-06-01,17.8
551621,2021-06-01,9.3
551716,2021-06-01,20.4
552548,2021-06-01,17.3
553254,2021-06-01,20
557334,2021-06-01,19.9
600608,2021-06-01,16.4
602213,2021-06-01,20.4
604037,2021-06-01,22.9
604335,2021-06-01,20.3
605537,2021-06-01,17.2
606705,2021-06-01,20.2
608121,2021-06-01,22.3
610244,2021-06-01,19.3
611355,2021-06-01,19.1
614740,2021-06-01,19.9
616140,2021-06-01,21.6
617220,2021-06-01,20.6
617637,2021-06-01,19
618518,2021-06-01,17.5
619308,2021-06-01,15.4
622303,2021-06-01,17
622414,2021-06-01,19.2
622544,2021-06-01,15.7
632130,2021-06-01,22.3
632229,2021-06-01,20.3
632432,2021-06-01,19.5
634322,2021-06-01,13.8
635347,2021-06-01,19.8
635658,2021-06-01,19.5
639210,2021-06-01,21
639518,2021-06-01,13
639744,2021-06-01,19.8
641237,2021-06-01,13.9
642540,2021-06-01,15.3
645410,2021-06-01,19.7
646207,2021-06-01,21.5
646247,2021-06-01,10.4
647334,2021-06-01,19.5
650727,2021-06-01,19.5
651305,2021-06-01,19.6
654438,2021-06-01,19.1
655522,2021-06-01,15.9
655650,2021-06-01,19.3
656555,2021-06-01,8.5
656621,2021-06-01,18.5
659236,2021-06-01,20
700733,2021-06-01,17.7
703156,2021-06-01,22.2
706515,2021-06-01,7.8
708430,2021-06-01,19.3
709352,2021-06-01,19.4
710736,2021-06-01,20.3
711305,2021-06-01,20.9
714623,2021-06-01,18.9
719507,2021-06-01,14.2
722205,2021-06-01,22.3
722657,2021-06-01,19.7
726352,2021-06-01,18.2
737439,2021-06-01,9.5
739615,2021-06-01,18.4
740330,2021-06-01,20.8
741640,2021-06-01,20.2
747356,2021-06-01,18.2
748253,2021-06-01,21.7
749713,2021-06-01,20.3
751555,2021-06-01,18.4
758355,2021-06-01,19.4
812637,2021-06-01,19.7
